Id,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Date
4558609924,1,115,129,2016-05-01T00:00:00Z
4558609924,1,123,134,2016-05-08T00:00:00Z
4702921684,1,425,439,2016-04-12T00:00:00Z
4702921684,2,400,430,2016-04-13T00:00:00Z
4702921684,1,384,415,2016-04-14T00:00:00Z
4702921684,1,253,257,2016-04-15T00:00:00Z
4702921684,2,382,406,2016-04-16T00:00:00Z
4702921684,1,591,612,2016-04-17T00:00:00Z
4702921684,1,293,312,2016-04-18T00:00:00Z
4702921684,1,457,487,2016-04-19T00:00:00Z
4702921684,1,454,468,2016-04-20T00:00:00Z
4702921684,1,425,434,2016-04-21T00:00:00Z
4702921684,1,465,475,2016-04-23T00:00:00Z
4702921684,1,480,506,2016-04-24T00:00:00Z
4702921684,1,370,380,2016-04-25T00:00:00Z
4702921684,1,421,429,2016-04-26T00:00:00Z
4702921684,1,432,449,2016-04-27T00:00:00Z
4702921684,1,442,461,2016-04-28T00:00:00Z
4702921684,1,433,447,2016-04-29T00:00:00Z
4702921684,1,479,501,2016-04-30T00:00:00Z
4702921684,1,327,373,2016-05-03T00:00:00Z
4702921684,1,412,434,2016-05-04T00:00:00Z
4702921684,1,414,428,2016-05-05T00:00:00Z
4702921684,1,404,449,2016-05-06T00:00:00Z
4702921684,1,520,543,2016-05-07T00:00:00Z
4702921684,1,435,458,2016-05-09T00:00:00Z
4702921684,1,416,431,2016-05-10T00:00:00Z
4702921684,1,354,366,2016-05-11T00:00:00Z
4702921684,1,404,442,2016-05-12T00:00:00Z
5553957443,1,441,464,2016-04-12T00:00:00Z
5553957443,2,455,488,2016-04-13T00:00:00Z
5553957443,1,357,418,2016-04-14T00:00:00Z
5553957443,1,377,409,2016-04-15T00:00:00Z
5553957443,2,651,686,2016-04-16T00:00:00Z
5553957443,1,350,402,2016-04-17T00:00:00Z
5553957443,2,520,541,2016-04-18T00:00:00Z
5553957443,1,357,410,2016-04-19T00:00:00Z
5553957443,1,658,678,2016-04-20T00:00:00Z
5553957443,1,399,431,2016-04-21T00:00:00Z
5553957443,1,322,353,2016-04-22T00:00:00Z
